wiki,year,pagetitle,pageviews,desc_en,desc_ar,desc_de,desc_es,desc_fr,desc_ru,desc_zh,file_name,image_page,image_file,artist,license,licenseurl,daily_views
dewiki,2018,Nekrolog_2018,6551964,Wikipedia list article about people who died in 2018,قائمة ويكيبيديا للأشخاص الذين توفوا في عام 2018,"Wikipedia-Listenartikel über Menschen, die im Jahr 2018 gestorben sind",Lista de Wikipedia sobre personas que murieron en 2018,page de liste de Wikimedia,"статья-список в проекте Викимедиа о людях, умерших в 2018 году",維基百科有關2018年死亡者的列表文章,,,,,,,15616_19300_20821_18772_17919_14572_17370_24016_21980_21519_22275_18796_13943_14730_24302_23090_25041_23401_20421_16368_17080_27204_22383_21205_20613_17591_13251_15759_23756_19866_20855_22246_20760_16680_15426_22081_21852_19500_19104_17525_14615_16398_21383_21719_24245_21933_18559_15170_14698_24421_22266_20073_18099_18808_14854_16548_26408_23433_21004_19855_18957_13848_16353_20710_20919_19834_18232_17278_13357_15808_30315_25761_26286_20938_19852_14955_17913_24829_21419_20418_19339_18235_14129_14699_23314_20239_20355_17452_14909_13889_14162_15053_22443_20145_18687_18219_12594_13517_24306_21796_19248_19165_17780_13263_14359_22856_18430_18632_19549_19952_13919_17035_29621_22179_20067_20034_16619_12839_13553_18419_15668_21235_19871_20900_13237_13861_21898_20363_17786_14906_15594_12577_14355_24450_21110_20565_19000_16706_12006_12609_15606_25180_20936_19057_22015_12905_14230_22147_23624_20866_16968_16482_14441_14438_21876_19880_18949_19876_19971_13576_14646_26976_22404_21407_21366_18427_13496_14074_20729_19843_18812_19048_16704_12244_14287_21044_20773_19140_18037_15807_12574_13394_20993_18810_18664_17921_17524_12585_13798_22876_18415_19257_17368_16681_12562_13249_21637_18061_17144_17256_16931_12778_13124_20768_18664_17271_17196_17383_12793_13256_24512_22845_19416_18016_17498_12116_12981_20771_18108_19041_19194_16663_12119_12668_20273_17903_19789_17787_16397_12472_13393_21150_17574_18772_16866_17307_13189_14480_22339_19080_19572_17221_15877_12983_13887_20867_19030_17697_18091_16060_12151_15489_26798_21965_20529_19137_16806_12343_13570_20298_17857_16490_16193_16393_11605_12550_19624_17110_15334_15369_13991_11158_12801_21343_18457_13972_20474_16269_13279_14506_22595_19895_17761_18866_18166_12586_12523_19968_18866_19399_19662_16347_12361_13440_20430_17746_18787_17997_15730_12402_14447_19967_19022_17448_17186_17741_13701_14165_23127_18055_19075_18098_17471_13261_12960_21265_19248_19582_18376_18159_14254_15278_20828_17106_16934_17749_15718_12107_13487_22036_21213_17302_17322_15479_15463_17584_30716_27403_21970_20105_19651_12884_14084_21113_17337_16764_17033_16713_12198_13576_19452_19207_18804_17488_15320_12880_13941_12190_13409_13588_17728_15964_14082_15631_14749
ruwiki,2019,"Мамонтов,_Савва_Иванович",12779802,Russian businessman,رجل أعمال روسي,Russischer Geschäftsmann,Empresario ruso,Un homme d'affaires russe,российский бизнесмен,俄羅斯商人,File:Савва_Мамонтов.jpg,https://commons.wikimedia.org/wiki/File:%D0%A1%D0%B0%D0%B2%D0%B2%D0%B0_%D0%9C%D0%B0%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0d/%D0%A1%D0%B0%D0%B2%D0%B2%D0%B0_%D0%9C%D0%B0%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2.jpg,Unknown author,Public domain,,101_193_253_187_231_164_165_157_167_150_131_161_200_176_189_257_723_193_199_209_225_219_213_213_172_136_187_198_225_246_189_195_184_265_171_242_231_215_183_229_297_232_229_193_183_202_158_47217_89771_86005_76714_89414_95716_123080_145637_163215_86916_100665_114944_127021_82509_79267_60744_37738_36871_3433_215_245_265_291_237_257_266_225_197_253_320_218_216_228_189_159_203_216_198_179_172_175_180_211_207_230_302_210_216_219_229_248_199_216_291_182_231_1203_488_306_243_208_168_159_396_249_250_231_295_193_170_171_193_35031_102257_118407_144349_117764_77848_84408_75309_53096_49171_58268_81558_52829_55769_70243_44541_54739_54810_54659_55204_53195_33384_237_244_198_163_210_208_192_167_169_175_146_167_172_182_190_216_187_185_177_150_135_142_138_152_143_131_186_134_137_343_173_162_167_140_148_213_141_131_172_188_115_42438_113285_97509_127669_127614_144224_130530_120021_104498_105050_59212_53617_65117_71043_64653_47272_54585_54514_51200_52176_50534_52414_53028_38462_42935_48196_22342_22185_21069_20663_21628_19446_22564_20618_7133_299_295_265_6055_455_313_199_197_195_150_162_5573_37582_39156_37787_42584_48368_51901_10805_55228_58874_41156_50004_34256_38434_24447_47890_50717_50385_45638_49532_39226_41202_46885_52870_80505_109781_100683_104712_65022_72827_75264_100677_109392_126486_124892_120708_101019_99131_86191_85786_84552_103799_119815_112763_116066_103857_97726_101234_107670_88599_53836_87389_104116_103982_97636_86183_88070_68917_79752_85791_73735_56310_42119_43023_36158_46683_74098_48745_79099_84398_35428_39531_49435_73451_41478_67325_61042_52447_49117_46409_50470_74994_83243_84387_86462_69996_64081_51850_74071_84103_71058_55862_59766_43285_51566_41850_62751_87782_71788_62073_54706_53690_49194_53372_56975_53181_36258_47689_36895_19717_18921_20335_16239_9541_270_213_224_231_212_190_227_186_263_205_165_167_216_179_201_269_151_171_150_126_128_113_107
enwiki,2019,Avengers:_Endgame,44433140,2019 superhero film produced by Marvel Studios,فيلم بطل خارق 2019 من إنتاج استوديوهات مارفل,2019 Superheldenfilm produziert von Marvel Studios,película de acción y ciencia ficción de 2019 dirigida por los Hermanos Russo,"film de super-héros des studios Marvel, sorti en 2019",фантастический фильм США 2019 года режиссёров братьев Руссо,由漫威影業製作的2019年超級英雄電影,File:Avengers_Endgame_poster.jpg,https://en.wikipedia.org/wiki/File:Avengers_Endgame_poster.jpg,https://upload.wikimedia.org/wikipedia/en/0/0d/Avengers_Endgame_poster.jpg,,Fair use,//en.wikipedia.org/wiki/File:Avengers_Endgame_poster.jpg,57088_59988_48101_42946_42055_44832_40164_36106_31649_30924_29483_31699_36275_37752_66630_55885_38412_31302_32466_34358_31762_28860_26157_24053_23343_25594_30197_27901_23755_24961_24869_23910_26772_32751_60470_37252_35485_36151_35452_34523_35511_33913_27974_25216_24175_24758_26582_28950_27994_28637_26468_25224_24355_25631_28262_31472_28565_25078_24628_24799_27934_32393_32465_32756_39298_45481_67110_89976_96301_83956_63448_57072_172250_140841_92569_86608_75943_64668_58203_59282_58328_57675_71174_74197_93420_83960_67942_63475_57826_62903_67870_123525_119654_93909_86586_78838_83860_95148_93279_90513_90827_82957_77115_78280_82023_118606_121812_106639_111865_112846_150858_212955_616183_1366043_1545570_1990242_1675892_1676141_1412331_993762_841591_733694_697170_737046_911430_815077_631738_555939_539761_474499_477517_511875_451755_372894_341657_339692_329798_340721_394047_363842_292697_264135_239361_234771_236948_267619_258878_232559_207009_193173_185516_189192_223825_212578_179230_171775_161625_160677_166750_176123_170273_154439_141128_139441_135294_132441_134583_126118_115955_144605_142306_116815_113781_119561_117647_114063_115070_113510_125484_147692_158244_151645_131307_114496_105740_107927_108582_120545_116058_102183_96825_98766_93190_97228_115666_118388_108111_101361_98892_101063_113703_399646_238913_145736_113526_99767_98433_103372_109001_99768_105975_106182_91511_83009_89949_88888_76566_68153_66234_61004_60081_65670_74806_67584_62782_63793_59233_62606_75430_81668_69171_60057_57190_51709_51779_60776_66116_55904_44064_41950_39057_38675_46328_52479_52461_44244_36807_36503_34875_42787_46324_37622_31981_30163_31184_32507_36416_37357_32006_28514_26952_26146_28105_31325_33989_28152_24956_24517_24101_25542_30079_31325_25331_23212_22868_23046_24657_26677_28531_25489_24514_23176_22820_22885_25438_27765_25669_23043_21085_21360_22277_23057_25522_23354_22074_20823_20737_21036_23064_24234_22748_21112_19673_18553_19012_20756_22953_21093_20017_18627_17835_18607_22327_22406_22296_24434_26960_24723_24263_30072_32414_27099_23356_22378_21708_21053_22905_25723_22476_19712_19738_19831_20541_22383_24533_20719_21984_19670_18842_17906_19875_22408_20861_18194_19198_17444_16681_19275_21539_19734_19746_20940_19749_18748_19864_21706_21580_19287_21792_30423_30495_28990_30099_27604_25827
frwiki,2019,France,8429372,sovereign state with mainland in Europe and several overseas territories,جمهورية في غرب أوروبا وتضم بعض الأقاليم والمناطق فيما وراء البحار,souveräner Staat mit Festland in Europa und mehreren überseeischen Territorien,país de Europa,pays transcontinental dont le territoire métropolitain est situé en Europe occidentale,государство в Западной Европе,西歐國家，並同時擁有多個海外領土,File:Mapadefrancia.svg,https://commons.wikimedia.org/wiki/File:Mapadefrancia.svg,https://upload.wikimedia.org/wikipedia/commons/6/67/Mapadefrancia.svg,Monsieur Fou,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,23222_23985_23280_23225_23465_20718_16694_16833_19285_16205_16182_15902_17162_16570_17413_16746_16273_16007_16179_17307_16815_16628_16485_16464_16047_16932_17270_16636_16546_17100_22795_30460_30518_31317_30753_32932_33304_30441_30129_29834_31293_30580_30331_30106_29808_29506_29572_30519_30335_30343_30325_30490_30065_29928_30748_30231_30137_30455_30156_30262_30051_30959_30961_30358_30329_29971_32857_31140_31558_27081_24060_23497_23394_24390_18075_15057_16044_16727_16373_17240_18012_15857_17242_18396_17281_17012_16027_15619_15229_16216_16041_16436_17076_16417_15674_15268_16405_23045_23174_23185_22506_23387_22182_23269_23486_23913_23170_22360_22159_21651_23879_24024_23464_23461_23167_22805_22904_23482_23217_22876_26101_23252_22963_22537_23635_22710_22678_23367_22637_22684_23154_24163_23332_22807_22366_22989_22894_22791_23821_23535_23309_28686_28473_22478_20351_24245_23268_23125_22197_22397_21548_21331_23135_24517_22631_22564_22691_23132_21991_23057_23237_23521_23095_22395_22683_22229_22459_22921_22210_21856_21866_24535_21726_23066_22487_21716_22175_21254_22095_21773_22078_21711_21453_21641_21495_21187_21437_22357_21906_22086_21231_21684_21575_21723_23437_21821_21823_21705_21861_22642_22269_22975_21964_22073_22355_23007_21895_25052_23853_23848_22794_22286_22618_22116_22397_23763_22778_22939_22754_22830_22839_22455_23164_23220_22806_22877_23613_22808_23363_23878_23725_23145_23477_23288_24160_23506_23530_23313_23397_22984_22755_22106_21876_22359_21566_21530_22496_22102_17563_21057_22455_22199_22551_22409_22197_21978_22224_22891_22248_22029_22401_22311_22341_22472_23935_22539_22981_23079_23792_22522_23087_23918_23737_23311_22838_22438_22080_22734_23861_26031_22820_23421_23499_23472_23185_24420_24031_23165_23428_23114_22492_22914_24153_23231_23084_23300_22790_22629_22570_23595_23159_23043_22971_22804_23950_24571_24979_23868_23772_23839_23636_23444_23289_24535_25781_25408_26393_24557_23372_25951_25407_24061_23440_23320_23210_23324_23266_24172_23510_23292_23771_28293_22736_25852_26091_25838_26932_25277_25199_25411_26099_27286_25873_26321_27740_24811_25022_26453_24428_23746_22688_22408_21833_21859_21826_22279_21563_22104_22118_22016_22619_22528_23042_22462_22059
eswiki,2019,Lali_Espósito,10564235,"Argentinian actress, singer, dancer and model",ممثلة ومغنية وراقصة وعارضة أزياء أرجنتينية,"Argentinische Schauspielerin, Sängerin, Tänzerin und Model","actriz, cantante y bailarina argentina",actrice et chanteuse argentine,"Аргентинская актриса, певица, танцовщица и модель",阿根廷女演員，歌手，舞蹈演員和模特兒,File:Lali_2018.png,https://commons.wikimedia.org/wiki/File:Lali_2018.png,https://upload.wikimedia.org/wikipedia/commons/8/81/Lali_2018.png,Fernando Radl,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,9009_6043_25096_3870_8903_6192_938_5271_3335_1980_2725_2820_2205_1050_21494_1555_4296_3063_2650_2590_6383_7105_9270_2810_7434_3496_1672_1108_988_4140_4778_13204_5198_4345_1530_1548_1387_1275_1275_1153_1759_4093_3965_6918_10705_7286_5280_4890_33131_9348_23014_20998_22709_5900_10244_21865_23357_35221_49753_37941_30362_18038_14324_25581_28235_24121_15357_6556_6695_19073_5987_4907_17388_16905_2805_54122_19739_33521_19398_9691_64332_86214_67781_56558_60511_66164_37411_65746_102223_55372_113066_32752_80537_63201_66087_80935_45073_34675_42052_46125_54190_92892_45209_21849_43045_67782_58099_64701_2398_42600_17344_21601_118683_104399_119757_33736_53742_12720_60609_37980_14676_28166_36291_54773_13608_42444_62518_41382_40952_44492_26835_5761_34127_39448_27510_17050_43340_7665_12690_2776_3094_10361_2208_1570_34754_32667_14715_15803_31932_18583_7763_10687_10823_18112_12131_8926_20613_10131_6942_10328_7469_16097_10797_50894_13471_7911_11393_3247_2709_2623_2505_10507_10406_8620_5154_9758_6159_6429_12889_8923_15913_9451_18363_7135_13196_29427_4992_8333_12673_6518_20832_6197_14056_29133_35715_32217_9843_10120_23426_31628_13921_899_35549_56946_68938_28734_31928_23925_12936_40641_85018_139574_165304_149853_129369_150936_141265_90243_107401_143410_154016_109530_82189_83103_73277_77690_49980_39120_20928_14913_26252_55149_31894_15980_18370_7402_10039_69413_42624_30667_12660_65221_987_2195_60119_20650_76365_48155_5738_8880_4933_35209_40301_39289_19301_11248_1054_24131_32657_50054_36444_21006_6828_1376_858_35878_771_49639_28298_46261_20948_26612_50706_1565_29145_20482_10775_19478_4170_12727_12602_16025_33844_36520_14284_29500_19283_14906_55719_28882_27523_3504_6846_26908_17281_19826_27041_10402_13450_28486_27083_44908_20717_3896_30265_30773_38433_7424_10864_28507_39376_32355_33674_18087_35063_45287_68437_39045_15822_893_811_6732_12283_31044_34646_892_836_12276_62040_61559_50757_16209_21519_4023_55561_43061_26763_15365_31100_19479_15444_51946_31005_1469_12014_3460_47434_30095_1857_39614_76481_72982_15363_29339_35951_27452_73944_29269_6069_4315_32687_8766_1039_62438_48372
zhwiki,2019,六四事件,4397085,pro-democracy movement in PR China in 1989,الحركة المؤيدة للديمقراطية في جمهورية الصين الشعبية عام 1989,pro-demokratische Bewegung in der VR China 1989,Manifestaciones de 1989 a favor de la democracia efectuadas en China,événement politique en Chine,продемократическое движение в КНР в 1989 г.,1989年6月4日的中國民主運動，於中國北京市天安門廣場的反抗議武裝鎮壓,,,,,,,4996_5424_5687_5710_5878_5685_5619_5653_5388_5371_5430_5000_4752_4945_4776_4813_5254_5183_4692_4417_4892_4902_5341_6232_5459_4960_4802_6038_5399_5292_5458_4690_4387_4182_3265_4003_4570_4698_5614_6723_5842_5424_5828_5505_5405_5493_5362_5127_5510_5508_5350_5977_5863_7430_6909_7641_6785_6360_6469_5936_5298_5013_5407_6004_5587_5848_8466_5463_5097_5300_5734_5557_5800_6921_5598_5411_5535_5460_5951_6127_6459_5467_5170_5611_5813_6141_6056_6281_5415_6856_5990_6426_6547_7340_6391_6329_7515_7213_7300_7635_8120_9826_8950_8069_9747_9881_8692_18851_18865_12671_11207_11818_10487_9451_9332_9285_9047_10124_9588_10056_8428_8853_9145_10168_9000_9582_8480_8667_8478_8264_8173_7867_8890_9555_9815_12179_9977_8441_8503_10321_10736_10731_10446_10947_9586_11274_14192_16910_48974_74063_51810_49197_60931_238741_336869_139107_66129_36852_26450_29170_29586_25315_39162_37069_24087_19468_19364_20713_14348_13051_11909_11376_10744_10747_9617_8853_8803_8617_7679_7779_7532_9779_10632_9374_9378_8876_7960_7989_7840_8451_8079_9751_8111_7434_7438_8933_10168_9993_8581_8460_7676_9038_13231_28827_26432_19410_15563_18843_16535_17555_15813_15480_14435_13254_12604_12995_18592_18615_15841_14277_12976_11379_12731_24697_30181_39256_32233_28674_22700_20063_19601_15105_13060_13075_11322_10703_11541_12143_11104_10627_10859_11030_10335_10261_10205_10201_9976_8718_7619_7539_7251_7336_7533_7544_7474_7523_6946_6586_6404_6405_7061_7099_8878_6863_6583_6278_6145_5974_6278_6346_5922_6793_8052_15738_12009_10467_12766_14424_12596_11779_12203_11384_10412_9428_9224_8248_8256_7891_8007_7984_7785_7173_6652_7352_8037_7614_7031_6616_5398_5222_5945_5372_5490_5462_5222_4772_4801_5264_5662_5705_6325_6316_5664_4909_8225_15036_20912_16858_13319_11359_15410_22529_17903_12675_11400_10255_8961_7912_8599_8015_7191_7958_7065_6385_5606_6130_6088_5740_5965_5837_5680_5376_5335_5396_5038_4922_5320_4756_4713_4690_4931_5094_5063_4578_4230_3890_4461_4169_4642_4644_4664_4530_4172_4265_4534
arwiki,2019,يوتيوب,1559175,video-sharing service owned by Google,خدمة مشاركة الفيديو التي تمتلكها جوجل,"Dienst von Google, um Videos zu teilen",servicio para compartir videos propiedad de Google,service de partage de vidéos détenu par Google,"сервис обмена видео, принадлежащий Google",視頻/影片共享服務是由Google持有,File:YouTube_Logo_2017.svg,https://commons.wikimedia.org/wiki/File:YouTube_Logo_2017.svg,https://upload.wikimedia.org/wikipedia/commons/b/b8/YouTube_Logo_2017.svg,YouTube,Public domain,,5034_4955_5230_5179_4955_4943_4996_5024_5115_5319_4976_4743_4663_4637_4497_4783_4852_4807_4872_4674_4375_4298_4274_4592_4797_5048_4909_5143_5065_5290_4744_4965_4828_5127_5047_5189_4893_5053_5163_5042_4550_4854_4492_4546_5024_5008_4847_4619_4623_4704_4557_4813_5120_4768_4642_4624_4676_5123_5705_5869_5214_4972_4882_5045_5116_5621_11665_5002_4672_5042_5388_5508_4663_4547_4540_4474_4195_4038_4257_4327_4490_4391_4720_4601_4335_4105_4455_4571_4512_4178_3991_3776_3768_4476_4606_4721_3966_3964_3904_3765_4386_3647_3640_3770_3756_3764_3857_4046_3970_4063_3904_4137_3950_3932_4063_3911_3948_3799_3763_4058_3911_3387_3513_3665_3452_3029_3448_3326_3546_3943_4033_4215_3762_4602_3922_3818_3942_4207_4272_4338_4171_4094_4050_4035_4376_4066_3900_3906_3926_4147_4058_4006_4170_4502_4960_5006_5269_4851_4768_4871_4840_4644_4404_4270_4225_4384_5082_4146_4013_3944_4818_4226_3931_4000_4150_4230_4287_4000_4330_4612_4638_4694_4462_4587_4455_4132_4289_4312_7796_4449_4661_4019_3986_4067_3818_3678_3781_3899_4072_3890_3659_3806_3838_3915_4060_4482_4262_3769_3907_3908_3993_4068_3867_3987_3909_3740_3768_3892_3768_4227_4143_3385_3465_3829_3890_3855_3903_3852_3881_4000_3723_3804_3714_3615_3808_4116_4301_4767_5058_4865_4621_4489_4297_4213_4480_4674_5135_4804_3742_4088_4566_4441_4585_4576_4149_4265_4170_3845_3814_4089_3632_4105_4338_4517_4188_4839_3874_3828_4397_4834_4200_4153_4182_3978_3871_3645_3716_3544_3584_3494_3641_3759_3795_4480_3869_3683_3717_3754_3852_4085_4198_3872_3635_3694_3799_3819_3779_4286_4079_3817_3967_3683_3711_3833_4028_4142_3909_3967_3752_3508_3927_3546_3942_3642_6517_9103_10278_5765_3823_3829_3753_3811_3757_3642_3687_3535_3603_3771_3272_3167_3220_3467_3375_3450_3169_3184_3335_3258_3658_3677_3514_3422_3315_3290_3530_3702_3873_3926_3620_4330_3690_3690_3933_3884_3865_3559_3605_3695_3869_3907_4139_4064_4127_4057_3761
dewiki,2019,Nekrolog_2019,6445208,Wikipedia list article about people who died in 2019,قائمة ويكيبيديا للأشخاص الذين توفوا في عام 2019,"Wikipedia-Listenartikel über Menschen, die im Jahr 2019 gestorben sind",Lista de Wikipedia sobre personas que murieron en 2019,page de liste de Wikimedia,"статья-список в проекте Викимедиа о людях, умерших в 2019 году",維基百科有關2019年死亡者的列表文章,,,,,,,14989_19345_19999_16829_14161_14138_20338_19717_17446_17511_19083_14516_14741_20748_19024_19236_17632_17032_12891_14071_21873_19161_18806_17947_18400_14017_13831_21491_19100_17070_17976_17350_12815_13528_22821_19908_20977_21097_25423_16140_16703_30964_24116_20597_18052_17184_14706_16187_25942_24072_18763_20276_20024_14252_15047_23204_23329_18909_22063_19018_14307_15424_23338_24076_24221_20859_19467_16529_15657_24859_22375_20026_20722_19527_14639_14995_23201_19380_20505_6475_24073_15440_14029_21608_19294_19612_18836_17418_13070_13227_23603_19756_19998_19567_16530_11812_12613_21597_18482_17415_16324_14805_12346_13203_18554_16401_15586_17599_13236_12055_12684_16203_29786_22068_24710_21668_14343_16190_26536_21519_14547_20505_19943_13001_13314_19962_18261_18776_19176_16427_12599_13894_21601_20974_21484_18929_18277_12325_13375_21973_21368_21935_18847_16423_11895_12750_19917_17440_17759_13415_16137_12402_13455_19673_17993_17174_16472_14994_11835_12371_14127_20843_20906_20870_17424_12805_13476_22037_18162_15692_15373_16726_13248_13457_20170_18324_17361_19712_17223_13267_18919_23163_25288_23131_18987_18439_14994_17770_22814_22422_21905_19573_17783_14811_14835_22823_20555_18684_17719_16033_12686_13709_23715_20374_19583_18486_17582_14729_15411_22222_20613_19343_17715_16755_12900_13748_20424_21670_17300_16799_15070_12938_12898_18484_18229_17196_17419_19222_14516_15199_23374_19365_16970_18367_17025_12335_13270_21781_18328_17334_21879_18081_14851_15549_20522_19534_18351_16878_15338_13505_14447_21158_18274_17271_16729_14751_11650_12227_20567_17406_18790_17735_16117_12010_15181_21025_18488_17516_17371_14885_12461_12345_19535_18188_18000_16938_17015_12287_13711_23058_18723_19858_18135_16964_14202_14287_22316_19749_19787_19976_17609_14775_14497_22453_19197_20016_17663_16259_12809_14688_20287_19366_18588_15461_14736_12584_15405_21621_17394_18362_16893_16498_12089_13239_19082_19039_19270_17804_16044_12430_13463_19456_17475_17831_20204_18412_12608_14313_21876_17619_18126_17766_16151_12054_14212_20567_18545_17895_16066_15828_14323_15632_23300_24190_20169_20947_18553_15538_14616_20482_17757_17052_16911_15485_13489_15241_17068_12218_13771_15713_18705_15979_16058_21133_17135
ruwiki,2020,Пандемия_COVID-19,14045762,"ongoing pandemic of COVID-19, caused by the virus SARS-CoV-2",جائحة كوفيد-19 الحالية، الناجمة عن فيروس كورونا 2 المرتبط بالمتلازمة التنفسية الحادة الشديدة,"laufende Pandemie von COVID-19, verursacht durch das Virus SARS-CoV-2",pandemia en curso del COVID-19 causada por el virus SARS-CoV-2,épisode viral ayant débuté à Wuhan en Chine en 2019,Продолжающаяся пандемия коронавирусной инфекции 2019 года (COVID-19),始發現於中國武漢的病毒爆發事件， SARS-CoV-2病毒引起的COVID-19持續大流行,File:COVID-19_Nurse_(cropped).jpg,https://commons.wikimedia.org/wiki/File:COVID-19_Nurse_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/COVID-19_Nurse_%28cropped%29.jpg,US Navy Mass Communication Specialist 2nd Class Sara Eshleman,Public domain,,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2322_28241_47163_61949_76180_85550_82355_84264_99861_78895_70437_73602_71393_64703_60449_59792_50093_47117_50901_44957_37906_44889_41164_33678_31842_39883_36353_42955_47398_42471_42064_58304_76370_82427_91935_108456_132322_101800_105087_126783_129618_112102_100137_93914_85313_82917_104230_127894_160535_257269_263314_232750_243764_317972_331324_311459_307104_275206_260304_269424_261936_246481_263458_283916_295460_270929_285563_285161_259330_220848_224936_177101_153051_142394_133902_118120_110604_101264_98206_92889_95458_94670_89765_87182_78297_75325_67326_64930_64358_59541_57275_52777_51193_47394_50306_53864_50315_45510_43674_40125_42757_43004_43656_38290_37996_36868_32589_29812_32031_38677_40326_33499_29232_27921_24222_25391_26583_25583_24224_23408_21833_19351_19893_20964_20106_18998_18775_18063_15808_15906_16958_16566_16337_15752_14580_12125_12936_14801_13733_12821_12632_11810_11381_11786_13279_12707_12823_12739_12275_10549_10181_11475_10552_9909_10737_10673_9499_9990_10914_10415_9776_10851_9999_9331_10630_11137_10806_10373_10641_9601_8464_9401_10940_9569_8739_8107_7869_6997_7348_7589_7066_7077_7116_6654_6040_6481_7426_7025_7064_6577_6106_5958_6081_6560_6180_6137_5960_5939_5065_5396_5432_5661_5353_5332_5024_4389_4928_4999_5072_4933_4942_4888_4476_4750_4911_5012_5070_4851_5021_4543_4696_5804_5824_5494_5264_5157_4564_4806_5460_5119_4952_5626_5166_4270_4684_5587_5178_5103_5120_4919_4108_4469_5072_4811_4914_5194_5270_4468_4803_5485_5614_4943_5059_5105_4626_5257_5733_5628_5511_5720_6048_5101_5590_6216_7337_6337_7210_8348_7441_6382_6841_6244_6083_6283_6028_5632_5545_6059_6246_6557_6596_6126_5746_6058_6342_5925_5878_6546_6331_5795_5729_6102_5783_5754_6008_5520_5252_5495_7987_23199_8924_6496
enwiki,2020,COVID-19_pandemic,81929961,"ongoing pandemic of COVID-19, caused by the virus SARS-CoV-2",جائحة كوفيد-19 الحالية، الناجمة عن فيروس كورونا 2 المرتبط بالمتلازمة التنفسية الحادة الشديدة,"laufende Pandemie von COVID-19, verursacht durch das Virus SARS-CoV-2",pandemia en curso del COVID-19 causada por el virus SARS-CoV-2,épisode viral ayant débuté à Wuhan en Chine en 2019,Продолжающаяся пандемия коронавирусной инфекции 2019 года (COVID-19),始發現於中國武漢的病毒爆發事件， SARS-CoV-2病毒引起的COVID-19持續大流行,File:COVID-19_Outbreak_World_Map_per_Capita.svg,https://commons.wikimedia.org/wiki/File:COVID-19_Outbreak_World_Map_per_Capita.svg,https://upload.wikimedia.org/wikipedia/commons/3/3b/COVID-19_Outbreak_World_Map_per_Capita.svg,"Raphaël Dunant, Gajmar (maintainer)",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,0_0_0_0_312_476_871_952_1093_1382_1807_1740_2399_2986_2663_4502_4588_8610_8337_50055_102464_140833_231206_334768_383429_434862_464001_498793_424202_453691_511011_359552_363191_374166_350489_316163_299082_310954_287401_278142_302515_266863_241425_293013_231710_197642_196219_205169_191754_189439_188884_205150_230996_295734_389111_430297_473200_529438_540882_462228_461801_571467_569725_581299_598065_598867_531120_574038_742121_810573_1028902_1397622_1293298_1163443_1184871_1383744_1377331_1347678_1355340_1373796_1336786_1370463_1370158_1320083_1226784_1255483_1193534_1036831_1004729_975556_909141_884657_876319_806901_747095_723369_733958_676351_651604_603648_585309_562813_533578_546196_538413_514440_498291_488058_443201_436819_447295_423824_407814_403552_371009_350641_354407_375875_351289_335453_312429_289733_272914_282433_322491_314374_299825_281308_258203_243454_266905_270247_259621_264901_246576_229159_212921_219084_227702_217208_213096_209117_196100_186221_194039_201616_200665_184601_178420_167404_151374_154790_164258_158845_155930_155258_151982_139680_147188_160654_153432_146770_147908_141816_131903_133715_149110_145378_144530_138083_135295_130019_128220_150068_141650_141979_145392_143703_132466_138472_153319_147987_142282_141984_133663_121144_125310_148338_145444_131767_131156_121189_112317_128801_134885_128592_125545_116627_119647_106621_109694_115171_107207_110790_108417_95476_84236_85628_92666_85072_80731_81056_74537_69478_73194_78489_74409_72045_68492_67016_60067_65092_68952_67759_63694_61894_58244_52360_55677_59272_57146_56884_55664_53257_50787_54176_56820_56909_56989_56202_52527_48870_52071_59135_55394_51301_51379_47473_43553_48101_53339_52201_52152_55563_53199_47545_51459_57869_56454_56539_56392_52581_43615_48056_56529_55904_54552_53335_50552_46394_50786_56948_58600_48495_48262_55059_48895_49574_54878_51634_48769_49055_46369_42303_46508_49343_48368_47997_49037_45870_40946_44869_50269_48058_47551_47992_46790_44094_45774_50431_47364_49733_50232_47885_44827_46870_49296_43985_39007_42872_39635_37903_40148_46434_43514_44690_46322_44660_40325_43841_52415_67621_54191_48061
